img_name,xmin,ymin,xmax,ymax,class_confidence,class,class_tmp,attribute,attribute_refine
00070007_0384.jpg,29.00017450000001,140.99995049999998,196.0000075,216.0000395,1,car,car_29.00,"parked, red, black, blue, white, moving","parked, red, black, blue, white, moving"
00070007_0384.jpg,223.9999795,119.0000455,292.9999105,260.00014250000004,1,man,man_224.00,"standing, walking, orange, white, skiing, black","standing, walking, orange, white, skiing, black"
00070007_0384.jpg,339.000068,29.0001145,351.00005600000003,123.00008150000002,1,pole,pole_339.00,"orange, white, tall, red, metal, wooden","orange, white, tall, red, metal, wooden"
00070007_0384.jpg,167.00024,22.000198,265.000142,74.00008,1,sign,sign_167.00,"green, white, blue, orange, hanging, square","green, white, blue, orange, hanging, square"
00070007_0384.jpg,207.0002,136.99991450000002,229.000178,162.9998555,1,sign,sign_207.00,"green, blue, orange, white, hanging, colorful","green, blue, orange, white, hanging, colorful"
00070007_0384.jpg,305.9998975,73.00007099999999,406.9997965,172.000083,1,trees,trees_306.00,"green, large, white, glass, tall, big","green, large, white, glass, tall, big"
00070007_0384.jpg,300.9999025,123.9997975,381.9998215,202.9999225,1,truck,truck_301.00,"green, large, colorful, yellow, white, big","green, large, colorful, yellow, white, big"
00070007_0384.jpg,31.999968000000003,262.9998765,115.999884,271.9999575,1,debris,debris_32.00,"black, yellow, long, small, blue, white","black, yellow, long, small, blue, white"
00070007_0384.jpg,1.0002024999999932,207.9999675,64.00013949999999,241.9999805,1,debris,debris_1.00,"red, black, pink, small, open, white","red, black, pink, small, open, white"
00070007_0384.jpg,1.0002025000000287,189.999952,407.0002035,293.0,1,road,road_1.00,"white, yellow, gray, snowy, snow-covered, metal","white, yellow, gray, snowy, snow-covered, metal"
00070007_0384.jpg,33.0001705,117.99989,110.0000935,148.999876,1,car,car_33.00,"red, black, white, framed, small, pink","red, black, white, framed, small, pink"
00070007_0384.jpg,183.0000205,199.000033,407.0002035,223.999965,1,debris,debris_183.00,"green, metal, white, black, gray, long","green, metal, white, black, gray, long"
00070007_0384.jpg,117.999882,137.9999235,213.999786,177.9999905,1,fire truck,fire truck_118.00,"green, red, open, parked, white, blue","green, red, open, parked, white, blue"
